"Year","EN","Ct","TDam"
1925,1,0,0
1926,0,3,74385
1927,0,0,0
1928,0,1,13795
1929,1,2,135
1930,1,0,0
1931,0,0,0
1932,0,1,1814
1933,-1,4,3468
1934,0,3,367
1935,0,2,3172
1936,0,2,95
1937,0,0,0
1938,-1,1,16629
1939,0,0,0
1940,1,2,511
1941,1,2,999
1942,-1,2,1168
1943,0,1,1512
1944,-1,3,23493
1945,-1,2,7060
1946,0,2,2243
1947,0,5,10775
1948,-1,3,1691
1949,-1,2,6174
1950,-1,2,2807
1951,1,1,182
1952,0,1,63
1953,1,1,23
1954,-1,3,17520
1955,-1,3,13193
1956,-1,1,349
1957,1,2,2444
1958,0,0,0
1959,0,4,446
1960,0,4,12208
1961,-1,2,7163
1962,0,1,33
1963,1,1,149
1964,-1,5,7051
1965,1,2,12698
1966,0,2,166
1967,-1,1,2050
1968,0,3,320
1969,1,1,10965
1970,-1,1,3338
1971,-1,4,1212
1972,1,2,10719
1973,-1,1,95
1974,-1,2,715
1975,-1,1,1757
1976,1,1,307
1977,1,1,33
1978,-1,1,76
1979,0,5,8638
1980,0,1,865
1981,0,1,78
1982,1,1,24
1983,0,1,4056
1984,0,1,128
1985,0,5,6522
1986,1,0,0
1987,1,1,11
1988,-1,1,75
1989,0,4,10304
1990,1,1,74
1991,1,1,1714
1992,0,1,33094
1993,1,2,64
1994,1,3,1031
1995,-1,3,3726
